state,year,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,NO2,O3,SO2,CO
Minnesota,2010,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2011,18.2090592334,32.6149825784,2.10571923744,3.15586690018,7.52111134843,0.0275511585366,0.892280796167,0.214675120209
Minnesota,2012,16.4919354839,45.5887096774,0.744,2.30275229358,6.40937017742,0.035083,0.392227641129,0.151200258065
Minnesota,2013,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2014,14.0050505051,33.6262626263,0.610576923077,3.35204081633,6.2316595404,0.0252473560606,0.415209287879,0.251820690657
Minnesota,2015,14.8671532847,33.4832116788,0.759018759019,3.93098384728,6.64545623723,0.0261151014599,0.704658645255,0.283031808029
Minnesota,2016,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Missouri,2000,31.5444702243,42.3194122196,20.7331786543,8.31477184841,16.8727499111,0.0277608035576,4.14546188708,0.522040481052
Missouri,2001,33.2959183673,44.7448979592,23.179138322,8.48081264108,17.243857966,0.0294684739229,4.29348982029,0.494762989796
Missouri,2002,33.2746478873,49.3004694836,20.9014084507,9.20422535211,17.3851271995,0.0287315892019,4.10303172066,0.584109542254
Missouri,2003,31.1048951049,45.4195804196,17.8205128205,9.2331002331,16.5294592075,0.0288086037296,3.60323170979,0.567235200466
Missouri,2004,27.4139534884,36.6395348837,20.3186046512,8.40697674419,13.8707736326,0.0255852744186,3.41899688023,0.550480236047
Missouri,2005,25.9300699301,51.5710955711,19.020979021,7.16783216783,12.6151517879,0.032609044289,3.17901882751,0.483122164336
Missouri,2006,34.8403755869,40.8544600939,21.5539906103,6.779342723,13.1498543239,0.0287029671362,3.29803403286,0.416249558685
Missouri,2007,27.9383886256,48.3744075829,19.981042654,6.82464454976,12.8261067062,0.0315637772512,3.43605985308,0.414682118483
Missouri,2008,25.2139534884,38.8511627907,17.5302325581,6.22325581395,12.1087173395,0.0284299488372,2.80676722093,0.3595529
Missouri,2009,27.9445763249231,40.0503191957462,16.2978789648215,6.69715476496462,14.0054567661692,0.0272776085058462,3.03161952641538,0.422937631107308
Missouri,2010,27.9445763249231,40.0503191957462,16.2978789648215,6.69715476496462,14.0054567661692,0.0272776085058462,3.03161952641538,0.422937631107308
Missouri,2011,27.9445763249231,40.0503191957462,16.2978789648215,6.69715476496462,14.0054567661692,0.0272776085058462,3.03161952641538,0.422937631107308
Missouri,2012,27.9445763249231,40.0503191957462,16.2978789648215,6.69715476496462,14.0054567661692,0.0272776085058462,3.03161952641538,0.422937631107308
Missouri,2013,21.8833819242,32.0758017493,11.988372093,3.86005830904,12.0384747551,0.0241332507289,2.48820978426,0.258564193878
Missouri,2014,23.2590529248,35.2841225627,10.5431754875,3.74094707521,11.8348399025,0.0250860027855,2.13093819499,0.254712008357
Missouri,2015,22.5395683453,27.4028776978,5.60791366906,4.07194244604,13.1099786978,0.0206834604317,1.39243753417,0.269525902878
Missouri,2016,25.0408163265,27.8163265306,2.69387755102,4.75510204082,12.4858465306,0.0230457142857,1.11537637755,0.323151908163
Nevada,2000,24.100656931673,37.87833433022,1.3074090072327,3.69972830852131,12.48758815829,0.03038735821313,0.33167538825999,0.213094300996286
Nevada,2001,16.5869565217,31.5434782609,3.67391304348,1.57608695652,5.87626313043,0.0308382173913,0.287526429348,0.0675164945652
Nevada,2002,12.7643678161,44.6752873563,1.15229885057,1.10057471264,2.99505113506,0.0412166925287,0.0618698074713,0.044890137931
Nevada,2003,9.11445783133,43.7710843373,0.367469879518,0.0903614457831,2.34559442771,0.0413860060241,0.0139934728916,0.00242947891566
Nevada,2004,24.100656931673,37.87833433022,1.3074090072327,3.69972830852131,12.48758815829,0.03038735821313,0.33167538825999,0.213094300996286
Nevada,2005,24.100656931673,37.87833433022,1.3074090072327,3.69972830852131,12.48758815829,0.03038735821313,0.33167538825999,0.213094300996286
Nevada,2006,24.100656931673,37.87833433022,1.3074090072327,3.69972830852131,12.48758815829,0.03038735821313,0.33167538825999,0.213094300996286
Nevada,2007,24.100656931673,37.87833433022,1.3074090072327,3.69972830852131,12.48758815829,0.03038735821313,0.33167538825999,0.213094300996286
Nevada,2008,24.100656931673,37.87833433022,1.3074090072327,3.69972830852131,12.48758815829,0.03038735821313,0.33167538825999,0.213094300996286
Nevada,2009,24.100656931673,37.87833433022,1.3074090072327,3.69972830852131,12.48758815829,0.03038735821313,0.33167538825999,0.213094300996286
Nevada,2010,34.4,23.7,1.3,6.3,22.3421667,0.0182294,0.4304355,0.2896734
Nevada,2011,29.9315068493,33.1232876712,1.18356164384,4.79178082192,16.6658802356,0.0268863726027,0.502221683562,0.295885973973
Nevada,2012,28.0555555556,39.1416666667,0.894444444444,4.19722222222,14.1473475222,0.0315721888889,0.374382493056,0.257559909722
Nevada,2013,28.5971014493,39.8637681159,1.20289855072,4.88985507246,16.235530771,0.0281168463768,0.499728731884,0.3059823
Nevada,2014,26.1849710983,44.7630057803,0.939306358382,4.52023121387,13.5417354451,0.0314904595376,0.374275559249,0.275246
Nevada,2015,25.2178060413,45.4197138315,0.847376788553,4.27476038339,13.305497062,0.0314962321145,0.392950698728,0.268538705882
Nevada,2016,30.1538461538,32.7820512821,1.51282051282,5.25641025641,17.4208151538,0.0226411666667,0.37936950641,0.323220608974
New Hampshire,2000,14.6189367226283,34.47611882825,7.43026635302883,4.94349500899167,7.36651981355833,0.02806815761845,1.40868104687142,0.3369274209215
New Hampshire,2001,14.6189367226283,34.47611882825,7.43026635302883,4.94349500899167,7.36651981355833,0.02806815761845,1.40868104687142,0.3369274209215
New Hampshire,2002,20.6032608696,41.1086956522,8.40217391304,4.90760869565,9.98933605978,0.0305681684783,1.11062165217,0.279515548913
New Hampshire,2003,18.5114942529,37.1436781609,9.29310344828,5.35057471264,9.36833237356,0.0289513103448,1.32339872989,0.336582833333
New Hampshire,2004,19.0597826087,34.9619565217,10.402173913,4.08152173913,9.76845323913,0.026898423913,2.35611683152,0.256235644022
New Hampshire,2005,18.3532338308,34.3880597015,12.592039801,6.8855721393,9.14654713433,0.0263012935323,3.00662859204,0.456763975124
New Hampshire,2006,14.7942857143,35.0857142857,9.62285714286,5.64571428571,7.33327681143,0.0285694914286,1.51904301714,0.349451674286
New Hampshire,2007,15.777173913,36.6902173913,10.277173913,6.30434782609,7.62177113587,0.0286041630435,1.24465949457,0.459521866848
New Hampshire,2008,14.7307692308,33.5769230769,8.12637362637,6.76373626374,7.21996908791,0.0277786043956,1.32605509341,0.507567282967
New Hampshire,2009,15.6448598131,27.2392523364,8.44672897196,5.8127340824,8.22515785047,0.0222976317757,1.48252203084,0.372491459813
New Hampshire,2010,14.9253731343,33.9701492537,8.64179104478,6.50746268657,7.66857066791,0.0296119664179,0.97338333209,0.442154098881
New Hampshire,2011,14.6189367226283,34.47611882825,7.43026635302883,4.94349500899167,7.36651981355833,0.02806815761845,1.40868104687142,0.3369274209215
New Hampshire,2012,14.6189367226283,34.47611882825,7.43026635302883,4.94349500899167,7.36651981355833,0.02806815761845,1.40868104687142,0.3369274209215
New Hampshire,2013,14.6189367226283,34.47611882825,7.43026635302883,4.94349500899167,7.36651981355833,0.02806815761845,1.40868104687142,0.3369274209215
New Hampshire,2014,8.34482758621,29.2988505747,1.14942528736,2.33333333333,4.44231702299,0.0256345172414,0.913755327586,0.189928781609
New Hampshire,2015,6.37709497207,36.1312849162,0.972067039106,2.20391061453,3.32026043017,0.0299513547486,0.829106308659,0.18394102933
